Currently_Investing,Investment_Types,Review_Frequency,Income_Investment_%,Risk_Appetite,Understanding_Level,Preference,Advisor_Type,Past_Loss_Experience,Reaction_To_Loss,Return_Expectation,Recommended_Investment,Recommendation_Reasoning,Recommendation_Confidence
No,None,Rarely,0,Low,Medium,Both,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"FD, Gold",Quarterly,1,Low,Medium,Both,Self,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
No,None,Monthly,0,High,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
Yes,"FD, Mutual Funds",Weekly,16,Low,Medium,Short-Term,Self,Yes,Diversify,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.65
Yes,Mutual Funds,Quarterly,7,Moderate,Low,Long-Term,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.6
Yes,FD,Weekly,5,Low,Low,Long-Term,Self,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,FD,Quarterly,9,Low,High,Long-Term,Self,Yes,Invest More,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.7
Yes,"FD, Gold, Mutual Funds",Rarely,14,Low,High,Both,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.8
Yes,"FD, Gold",Quarterly,8,Low,High,Long-Term,Professional Advisor,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.8
No,None,Monthly,2,High,Medium,Short-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"FD, Gold",Yearly,15,Low,High,Both,Professional Advisor,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.9
Yes,Stocks,Monthly,14,High,Low,Both,Professional Advisor,Yes,Hold,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,"FD, Gold, Mutual Funds, SIP",Yearly,13,Moderate,Medium,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.65
Yes,"Mutual Funds, Stocks",Quarterly,25,Moderate,Medium,Long-Term,Self,Yes,Diversify,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.65
Yes,Mutual Funds,Monthly,2,Moderate,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.65
Yes,Mutual Funds,Rarely,2,Moderate,Medium,Long-Term,Self,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.55
Yes,"FD, Mutual Funds, SIP",Monthly,20,Moderate,Low,Short-Term,Professional Advisor,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.75
No,None,Never,0,Low,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
No,None,Weekly,0,Moderate,High,Both,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.65
Yes,"Mutual Funds, Stocks",Monthly,13,High,Medium,Long-Term,Both,Yes,Diversify,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.6
Yes,"FD, SIP, Stocks",Monthly,20,High,Low,Short-Term,Self,No,N/A,High (>12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,Stocks,Weekly,21,High,Low,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.75
Yes,"Mutual Funds, SIP",Yearly,13,Moderate,Low,Long-Term,Self,Yes,Hold,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.55
Yes,"Mutual Funds, SIP",Yearly,5,Moderate,Low,Both,Both,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
Yes,"Mutual Funds, SIP, Stocks",Yearly,10,Moderate,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
No,None,Monthly,0,Moderate,Medium,Short-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"FD, Mutual Funds",Quarterly,9,Low,Medium,Short-Term,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.6
Yes,Mutual Funds,Yearly,3,Moderate,Medium,Long-Term,Self,Yes,Diversify,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.55
Yes,"FD, Gold",Quarterly,8,Low,High,Long-Term,Self,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.75
Yes,"FD, Gold, Mutual Funds, Real Estate",Yearly,2,Low,Low,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
No,None,Quarterly,0,High,Medium,Long-Term,Self,Yes,Diversify,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.45
Yes,FD,Monthly,4,Low,High,Long-Term,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.75
Yes,"FD, Mutual Funds",Yearly,7,Low,Low,Long-Term,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
No,None,Yearly,0,Low,Low,Both,Professional Advisor,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
Yes,Stocks,Yearly,10,High,High,Both,Professional Advisor,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.8
Yes,"Gold, Mutual Funds, SIP",Monthly,11,Moderate,Medium,Long-Term,Professional Advisor,Yes,Diversify,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
Yes,Mutual Funds,Monthly,11,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
Yes,"Crypto, Stocks",Monthly,25,High,Low,Short-Term,Self,No,N/A,High (>12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,"Crypto, Stocks",Monthly,14,High,Medium,Long-Term,Self,Yes,Diversify,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.55
No,None,Monthly,0,Low,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
No,None,Rarely,0,Moderate,Low,Both,Professional Advisor,Yes,Hold,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
No,None,Quarterly,0,Moderate,Medium,Both,Both,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
Yes,"Mutual Funds, SIP",Quarterly,9,Moderate,Low,Long-Term,Self,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
No,None,Monthly,0,Low,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,Stocks,Rarely,24,High,Low,Both,Self,Yes,Hold,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.65
Yes,"Mutual Funds, SIP",Monthly,5,Moderate,Low,Both,Self,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.55
No,None,Yearly,1,Low,Low,Short-Term,Professional Advisor,Yes,Panic Sell,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"Mutual Funds, SIP",Never,4,Moderate,Low,Long-Term,Self,Yes,Hold,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.55
Yes,"FD, Gold",Yearly,3,Low,High,Long-Term,Both,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.8
Yes,"FD, Gold",Never,2,Low,Low,Long-Term,Self,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,"Gold, Mutual Funds",Yearly,6,Moderate,Medium,Short-Term,Both,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.65
Yes,"FD, Gold",Monthly,11,Low,Low,Short-Term,Professional Advisor,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.65
Yes,"Mutual Funds, SIP",Monthly,17,Moderate,Medium,Long-Term,Professional Advisor,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.75
Yes,Mutual Funds,Monthly,22,Moderate,High,Long-Term,Professional Advisor,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.9
No,None,Weekly,7,Low,Low,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
No,None,Yearly,0,High,High,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.7
Yes,"FD, Gold, Mutual Funds",Monthly,4,Low,Low,Both,Professional Advisor,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
Yes,"FD, Mutual Funds",Rarely,7,Low,Medium,Both,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.65
Yes,FD,Monthly,5,Low,Medium,Long-Term,Both,Yes,Diversify,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
Yes,"FD, Gold, Mutual Funds, Real Estate",Quarterly,9,Low,High,Long-Term,Professional Advisor,Yes,Diversify,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.75
Yes,"FD, Gold, Real Estate",Never,4,Low,Medium,Both,Professional Advisor,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.65
Yes,"Mutual Funds, SIP, Stocks",Monthly,4,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
Yes,Stocks,Yearly,29,High,Low,Long-Term,Self,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.7
Yes,FD,Yearly,8,Low,Low,Long-Term,Self,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,"Mutual Funds, SIP",Monthly,22,Moderate,High,Short-Term,Self,Yes,Invest More,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.8
Yes,Mutual Funds,Quarterly,0,Moderate,Medium,Long-Term,Self,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.55
No,None,Monthly,0,High,Medium,Both,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
No,None,Yearly,7,Moderate,Medium,Long-Term,Self,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,FD,Quarterly,0,Low,Medium,Long-Term,Professional Advisor,Yes,Diversify,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
No,None,Quarterly,0,Low,High,Both,Self,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.65
Yes,"Mutual Funds, Stocks",Yearly,0,Moderate,Medium,Short-Term,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.6
No,None,Monthly,0,High,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
No,None,Yearly,0,Low,High,Long-Term,Professional Advisor,Yes,Hold,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.65
Yes,Mutual Funds,Rarely,21,Moderate,Low,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,Stocks,Rarely,22,High,Low,Short-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,"Mutual Funds, Real Estate, SIP, Stocks",Yearly,12,High,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.65
Yes,"SIP, Stocks",Quarterly,17,High,Low,Long-Term,Self,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,Mutual Funds,Never,15,Moderate,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.7
Yes,"Gold, Mutual Funds, SIP",Monthly,14,Moderate,High,Long-Term,Both,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.8
Yes,"Mutual Funds, SIP, Stocks",Quarterly,9,Moderate,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
No,None,Monthly,0,Moderate,Medium,Short-Term,Self,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
No,None,Never,2,Low,High,Long-Term,Self,Yes,Hold,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.6
Yes,"Mutual Funds, Real Estate, SIP",Yearly,5,Moderate,Medium,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Balanced Portfolio + RE exposure, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Existing real-estate investment suggests maintaining diversification. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.65
Yes,"Mutual Funds, SIP",Yearly,6,Moderate,Medium,Both,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.65
Yes,FD,Monthly,3,Low,Medium,Long-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
Yes,"Gold, Mutual Funds",Yearly,12,Moderate,High,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.75
No,None,Yearly,0,Moderate,Medium,Long-Term,Professional Advisor,Yes,Diversify,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"SIP, Stocks",Yearly,23,High,Medium,Long-Term,Self,Yes,Hold,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.65
Yes,"FD, Mutual Funds",Monthly,4,Low,High,Long-Term,Self,Yes,Invest More,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.7
Yes,"FD, Gold, Mutual Funds",Quarterly,6,Low,Medium,Both,Self,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.6
Yes,"Mutual Funds, Stocks",Monthly,12,Moderate,Medium,Both,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.6
Yes,"FD, Real Estate",Quarterly,3,Low,High,Long-Term,Professional Advisor,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.8
No,None,Monthly,0,Moderate,Medium,Short-Term,Both,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
Yes,"Mutual Funds, SIP, Stocks",Monthly,23,Moderate,Medium,Long-Term,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.7
Yes,"FD, Gold",Monthly,10,Low,High,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.8
Yes,"FD, Mutual Funds, SIP",Monthly,3,Moderate,Medium,Short-Term,Professional Advisor,Yes,Diversify,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.6
No,None,Monthly,5,Moderate,Medium,Long-Term,Both,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
No,None,Rarely,0,Moderate,High,Both,Self,Yes,Diversify,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.6
Yes,"Crypto, Stocks",Quarterly,15,High,High,Short-Term,Professional Advisor,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), FD / Liquid Funds for short-term goals",High risk appetite -> equity-heavy allocation for higher expected returns. Short-term preference -> recommend liquid/safe instruments for near-term needs. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.9
